PREMISE_SERIALIZED,SUBJECT,PREDICATE,OBJECT,text,predicted_label
"[['Flood', 'Causes', 'Evacuation of residents']]",Flood,Causes,Evacuation of residents,Flood Causes Evacuation of residents,AVOID
"[['Flood', 'Causes', 'Loss of life']]",Flood,Causes,Loss of life,Flood Causes Loss of life,AVOID
"[['Flood warning system', 'Recommends', 'Evacuation of residents']]",Flood warning system,Recommends,Evacuation of residents,Flood warning system Recommends Evacuation of residents,AVOID
"[['Flood', 'Causes', 'Health and safety risks']]",Flood,Causes,Health and safety risks,Flood Causes Health and safety risks,AVOID
"[['Flood', 'Causes', 'Homes damage']]",Flood,Causes,Homes damage,Flood Causes Homes damage,AVOID
"[['Flood', 'Causes', 'Traffic disruption']]",Flood,Causes,Traffic disruption,Flood Causes Traffic disruption,AVOID
"[['Tsunami', 'Causes', 'Flood']]",Tsunami,Causes,Flood,Tsunami Causes Flood,AVOID
"[['Storm surges', 'Causes', 'Flood']]",Storm surges,Causes,Flood,Storm surges Causes Flood,AVOID
"[['Siphoning', 'Causes', 'Flood']]",Siphoning,Causes,Flood,Siphoning Causes Flood,AVOID
"[['Heavy rainfall', 'Causes', 'Flood']]",Heavy rainfall,Causes,Flood,Heavy rainfall Causes Flood,AVOID
"[['Flood', 'Causes', 'Business disruption']]",Flood,Causes,Business disruption,Flood Causes Business disruption,AVOID
"[['Dam failure', 'Causes', 'Flood']]",Dam failure,Causes,Flood,Dam failure Causes Flood,AVOID
"[['Flood warning system', 'Predicts', 'Flood']]",Flood warning system,Predicts,Flood,Flood warning system Predicts Flood,MAINTAIN
"[['River overflow', 'Causes', 'Flood']]",River overflow,Causes,Flood,River overflow Causes Flood,AVOID
"[['Flood', 'Causes', 'Property damage']]",Flood,Causes,Property damage,Flood Causes Property damage,AVOID
"[['Flood', 'Causes', 'Bridge damage']]",Flood,Causes,Bridge damage,Flood Causes Bridge damage,AVOID
"[['Snowmelt', 'Causes', 'Flood']]",Snowmelt,Causes,Flood,Snowmelt Causes Flood,AVOID
"[['Flood', 'Causes', 'Buildings damage']]",Flood,Causes,Buildings damage,Flood Causes Buildings damage,AVOID
"[['Flood', 'Causes', 'Railroads damage']]",Flood,Causes,Railroads damage,Flood Causes Railroads damage,AVOID
"[['Flood warning system', 'Generates', 'Alerts']]",Flood warning system,Generates,Alerts,Flood warning system Generates Alerts,MAINTAIN
"[['Flood', 'Causes', 'Vehicles damage']]",Flood,Causes,Vehicles damage,Flood Causes Vehicles damage,AVOID
"[['Flood warning system', 'Analyzes', 'Forecasting']]",Flood warning system,Analyzes,Forecasting,Flood warning system Analyzes Forecasting,MAINTAIN
"[['Soil erosion', 'Leads to', 'Loss of life']]",Soil erosion,Leads to,Loss of life,Soil erosion Leads to Loss of life,AVOID
"[['Flood warning system', 'Uses', 'Sensors']]",Flood warning system,Uses,Sensors,Flood warning system Uses Sensors,MAINTAIN
"[['Flood', 'Causes', 'Soil erosion']]",Flood,Causes,Soil erosion,Flood Causes Soil erosion,AVOID
"[['Flood', 'Causes', 'Environmental damage']]",Flood,Causes,Environmental damage,Flood Causes Environmental damage,AVOID
"[['Cameras', 'Detect', 'Flood']]",Cameras,Detect,Flood,Cameras Detect Flood,MAINTAIN
